student_id,name,gender,university,degree_program,year_of_study,interests,career_goal,skill_level,location,email,gpa,preferred_mentor_location,learning_preference,mentorship_goals,preferred_communication_style,languages,available_hours
S0,Student_0,Male,University of Colombo,Cybersecurity,1,Software Engineering,Lecturer,Beginner,Galle,student_0@student.edu,3.96,same_university,visual,research_guidance,flexible,"English,Tamil",7
S1,Student_1,Female,University of Moratuwa,Data Science,2,AI/ML,Data Scientist,Advanced,Kurunegala,student_1@student.edu,2.71,same_city,reading,job_search,flexible,English,3
S2,Student_2,Male,University of Colombo,SE,1,Software Engineering,Data Scientist,Intermediate,Kandy,student_2@student.edu,3.98,any,auditory,career_guidance,flexible,English,6
S3,Student_3,Female,IIT Sri Lanka,Cybersecurity,1,Networking,Software Engineer,Intermediate,Kurunegala,student_3@student.edu,3.71,same_university,reading,research_guidance,formal,"English,Tamil",9
S4,Student_4,Female,University of Colombo,SE,2,AI/ML,Lecturer,Advanced,Colombo,student_4@student.edu,3.9,any,visual,networking,casual,"English,Tamil",4
S5,Student_5,Male,University of Colombo,SE,4,Data Science,Security Analyst,Intermediate,Gampaha,student_5@student.edu,3.16,any,visual,skill_development,structured,English,8
S6,Student_6,Female,University of Peradeniya,Data Science,2,Networking,Data Scientist,Beginner,Colombo,student_6@student.edu,3.78,same_city,visual,job_search,structured,English,2
S7,Student_7,Male,University of Kelaniya,IT,4,Data Science,Software Engineer,Advanced,Kandy,student_7@student.edu,3.29,same_university,auditory,skill_development,formal,"English,Sinhala",1
S8,Student_8,Male,University of Peradeniya,Data Science,3,Data Science,Lecturer,Intermediate,Colombo,student_8@student.edu,2.98,same_university,reading,skill_development,formal,"English,Tamil",8
S9,Student_9,Male,University of Peradeniya,Cybersecurity,3,Data Science,Lecturer,Advanced,Gampaha,student_9@student.edu,3.94,any,visual,job_search,casual,"English,Sinhala",3
S10,Student_10,Male,University of Moratuwa,IT,2,Networking,Lecturer,Intermediate,Kurunegala,student_10@student.edu,3.85,same_university,reading,skill_development,structured,English,1
S11,Student_11,Female,SLIIT,Data Science,4,AI/ML,Security Analyst,Intermediate,Kandy,student_11@student.edu,2.75,remote_only,reading,career_guidance,structured,"English,Tamil",3
S12,Student_12,Male,University of Moratuwa,Data Science,2,Software Engineering,Software Engineer,Intermediate,Galle,student_12@student.edu,3.34,any,kinesthetic,networking,casual,"English,Tamil",8
S13,Student_13,Female,NSBM,Cybersecurity,3,Business IT,Software Engineer,Advanced,Kandy,student_13@student.edu,3.06,same_city,visual,research_guidance,casual,English,4
S14,Student_14,Male,University of Peradeniya,CS,4,Data Science,Data Scientist,Intermediate,Gampaha,student_14@student.edu,3.04,remote_only,auditory,career_guidance,formal,English,2
S15,Student_15,Male,University of Moratuwa,Data Science,2,Data Science,Software Engineer,Intermediate,Kandy,student_15@student.edu,2.53,same_university,kinesthetic,career_guidance,casual,"English,Tamil",5
S16,Student_16,Male,University of Peradeniya,Data Science,2,Networking,Data Scientist,Advanced,Colombo,student_16@student.edu,3.99,any,auditory,career_guidance,flexible,English,3
S17,Student_17,Female,University of Kelaniya,CS,2,Cybersecurity,Data Scientist,Beginner,Colombo,student_17@student.edu,3.72,same_city,reading,research_guidance,formal,"English,Sinhala",9
