mentor_id,name,gender,university,industry_role,domain,experience_years,skills,location,document_score,interview_score,verification_level,email,linkedin_profile,availability_hours,mentoring_style,languages,combined_verification_score,response_rate,average_rating,mentorship_capacity,current_mentees,total_sessions,alumni_source
M0,Mentor_0,Female,University of Kelaniya,Data Scientist,Software Engineering,6,"Data Analysis,Java,Machine Learning",Gampaha,81.0,55.0,Gold,mentor_0@university.edu,https://linkedin.com/in/mentor_0,4,structured,"English,Sinhala",74.57,0.78,4.77,,,,
M1,Mentor_1,Female,University of Moratuwa,Consultant,AI/ML,12,"Cybersecurity,Data Analysis,Python",Gampaha,74.0,92.0,Gold,mentor_1@university.edu,https://linkedin.com/in/mentor_1,16,flexible,"English,Sinhala",84.47,0.74,4.39,,,,
M2,Mentor_2,Female,University of Colombo,Software Engineer,Software Engineering,12,"Machine Learning,Data Analysis,Cloud Computing",Gampaha,69.0,57.0,Bronze,mentor_2@university.edu,https://linkedin.com/in/mentor_2,9,casual,"English,Tamil",95.0,0.83,4.93,,,,
M3,Mentor_3,Male,NSBM,Data Scientist,Software Engineering,16,"Java,Cybersecurity,Python",Colombo,62.0,77.0,Gold,mentor_3@university.edu,https://linkedin.com/in/mentor_3,6,casual,"English,Tamil",69.31,0.97,4.65,,,,
M4,Mentor_4,Male,University of Kelaniya,Software Engineer,Business IT,2,"Machine Learning,Cybersecurity,Python",Gampaha,72.0,97.0,Bronze,mentor_4@university.edu,https://linkedin.com/in/mentor_4,4,structured,English,72.29,0.8,4.18,,,,
M5,Mentor_5,Male,IIT Sri Lanka,Data Scientist,AI/ML,13,"Python,Data Analysis,Java",Kandy,87.0,89.0,Silver,mentor_5@university.edu,https://linkedin.com/in/mentor_5,19,casual,"English,Tamil",62.24,0.87,4.54,,,,
M6,Mentor_6,Male,University of Colombo,Consultant,Software Engineering,6,"Data Analysis,Machine Learning,Cloud Computing",Gampaha,73.0,72.0,Silver,mentor_6@university.edu,https://linkedin.com/in/mentor_6,12,structured,English,87.25,0.79,4.39,,,,
M7,Mentor_7,Female,NSBM,Data Scientist,Software Engineering,7,"Machine Learning,Data Analysis,Python",Kurunegala,61.0,56.0,Silver,mentor_7@university.edu,https://linkedin.com/in/mentor_7,9,formal,"English,Sinhala",61.07,0.76,4.16,,,,
M8,Mentor_8,Male,University of Kelaniya,Data Scientist,Software Engineering,14,"Java,Cybersecurity,Data Analysis",Galle,72.0,70.0,Bronze,mentor_8@university.edu,https://linkedin.com/in/mentor_8,4,casual,"English,Sinhala",70.87,0.82,3.68,,,,
M9,Mentor_9,Male,University of Peradeniya,Software Engineer,Data Science,12,"Cloud Computing,Machine Learning,Data Analysis",Kurunegala,85.0,90.0,Gold,mentor_9@university.edu,https://linkedin.com/in/mentor_9,17,structured,"English,Sinhala",66.14,0.91,4.67,,,,
M10,Mentor_10,Male,University of Peradeniya,Lecturer,Software Engineering,6,"Java,Python,Cybersecurity",Gampaha,51.0,64.0,Gold,mentor_10@university.edu,https://linkedin.com/in/mentor_10,4,casual,"English,Tamil",90.07,0.72,4.36,,,,
M11,Mentor_11,Female,University of Peradeniya,Lecturer,Software Engineering,6,"Machine Learning,Java,Data Analysis",Kurunegala,99.0,52.0,Bronze,mentor_11@university.edu,https://linkedin.com/in/mentor_11,7,structured,"English,Tamil",85.84,0.75,3.73,,,,
M12,Mentor_12,Female,University of Kelaniya,Data Scientist,Cybersecurity,15,"Machine Learning,Cloud Computing,Data Analysis",Colombo,67.0,56.0,Silver,mentor_12@university.edu,https://linkedin.com/in/mentor_12,10,casual,"English,Tamil",80.28,0.89,3.6,,,,
M13,Mentor_13,Male,NSBM,Consultant,Business IT,18,"Cybersecurity,Python,Data Analysis",Gampaha,51.0,76.0,Gold,mentor_13@university.edu,https://linkedin.com/in/mentor_13,4,structured,"English,Sinhala",62.98,0.71,4.17,,,,
M14,Mentor_14,Female,University of Colombo,Lecturer,Software Engineering,13,"Cybersecurity,Cloud Computing,Data Analysis",Kurunegala,93.0,100.0,Bronze,mentor_14@university.edu,https://linkedin.com/in/mentor_14,14,formal,"English,Tamil",61.51,0.84,4.12,,,,
